,Host,Dokumente,Land,Date
533,Instituto Politécnico de Leiria: IC-online,487,pt,2011-03-09
534,Electronic Sumy State University Institutional Repository (eSSUIR) /  Сумський державний університет,28445,ua,2011-03-09
535,CEEMaR (Central and Eastern European Marine Repository),1005,ua,2011-03-09
536,Uniwersytet Pedagogiczny Kraków: Pedagogiczna Biblioteka Cyfrowa,2711,pl,2011-03-08
537,"Universität des Saarlandes, Universitätsverlag universaar: Bücher Online",18,de,2011-03-08
538,University of Central Florida Libraries: Digital Collections,9841,us,2011-03-08
539,San José State University: SJSU ScholarWorks,4724,us,2011-03-08
540,Repozytorium Cyfrowe Poloników / Digital Repository Polonica (Instytut Badań nad Dziedzictwem Kulturowym Europy),1175,pl,2011-03-08
541,OPUS - Hochschulschriftenserver der Hochschule Aalen,6,de,2011-03-08
542,Olivet Nazarene University: Digital Commons @ Olivet,142,us,2011-03-08
543,Linfield College: DigitalCommons@Linfield,1600,us,2011-03-08
544,"Hertie School of Governance, Berlin: OPUS-Dokumentenserver",117,de,2011-03-08
545,Georgetown University's Law School: Scholarship@Georgetown Law,1486,us,2011-03-08
546,Universität Siegen: OPUS Siegen,497,de,2011-03-07
547,"Universität des Saarlandes, Universitätsverlag universaar: Zeitschriften online",92,de,2011-03-07
548,Universidade Federal de Uberlândia (UFU): Sistema Eletrônico de Editoração de Revistas,4086,br,2011-03-07
549,Universidade Federal da Paraíba: Portal de Periódicos Científicos Eletrônicos da UFPB,2495,br,2011-03-07
550,Universidade do Oeste Paulista (Unoeste): Sistema Eletrônico de Editoração de Revistas,222,br,2011-03-07
551,Universidad del Norte: Revistas Científicas,2191,co,2011-03-07
552,"Revista Iberoamericana (Host: University of Texas, Austin)",6008,us,2011-03-07
553,Revista Brasileira de Estudos de Segurança Pública (REBESP),24,br,2011-03-07
554,"Review of Economics and Institutions / Economia, Società e Istituzioni (Host: University of Perugia)",31,it,2011-03-07
555,"Community Literacy Journal (Host: DePaul University, Chicago)",92,us,2011-03-07
556,Bergische Universität Wuppertal: Elektronische Publikationen,695,de,2011-03-07
557,African Ethnomedicines Network: E-Journals (Host: Simon Fraser Univ. Vancouver),719,ng,2011-03-07
558,InterDisciplines - Journal of History and Sociology (Bielefeld Graduate School in History and Sociology),34,de,2011-03-04
559,Università degli Studi de Verona: University research products,1439,it,2011-01-18
560,University of Zimbabwe Institutional Repository,283,zw,2011-01-18
561,University of North Carolina: NC DOCKS (Digital Online Collection of Knowledge and Scholarship),7347,us,2011-01-18
562,Fachhochschule Köln: ePublications,277,de,2011-01-18
563,Friedrich-Alexander-Universität Erlangen-Nürnberg: Hochschulschriftenserver OPUS,2232,de,2011-01-17
564,Universitetet i Tromsø: Septentrio Academic Publishing,2052,no,2010-09-03
565,Universidade Federal de Roraima: Sistema Eletrônico de Editoração de Revistas da UFRR,366,br,2010-09-03
566,The American University in Cairo: AUC DAR (Digital Archive and Research Repository),2302,eg,2010-09-03
567,Zeitschrift für die Welt der Türken (ZfWT) / Journal of World of Turks,151,de,2010-09-01
568,University of Utah E Publications,430,us,2010-09-01
569,Rijksuniversiteit Groningen: Open Journal Systems,379,nl,2010-09-01
570,Revistas Bolivianas: Open Journal System,100,bo,2010-09-01
571,Lund University: Open Journal Systems,4308,se,2010-09-01
572,Health Science Journals in Myanmar,696,org,2010-09-01
573,Universitätsbibliothek Frankfurt/Main: Digitale Sammlungen,8925,de,2010-07-12
574,"Universitat Pompeu Fabra, Barcelona: UPF Digital Repository",5680,es,2010-07-12
575,Universidad San Pablo CEU (Madrid): Biblioteca Digital del CEU,3607,es,2010-07-12
576,Prince of Songkla University: PSU Knowledge Bank,6443,th,2010-07-12
577,Pacific University Oregon: CommonKnowledge,3705,us,2010-07-12
578,ODA - Open Digital Archive at Oslo University College,868,no,2010-07-12
579,National University of Kaohsiung Repository System / 國立高雄大學,5074,tw,2010-07-12
580,National Open University Institutional Repository (Taiwan) / 國立空中大學,1013,tw,2010-07-12
581,National Ilan University Repository (NIUR) / 國立宜蘭大學,718,tw,2010-07-12
582,Fukushima Medical University Repository / 福島県立医科大学学術成果リポジトリ,254,jp,2010-07-12
583,Chung Hwa University of Medical Technology: Taiwan Academic Institutional Repository (HWAIR) / 中華醫事科技大學,1252,tw,2010-07-12
584,Universita IUAV di Venezia: D-L Meritori,21,it,2010-06-22
585,Universita IUAV di Venezia: D-L Documenti,101,it,2010-06-22
586,Universita IUAV di Venezia: D-L Didattica,22,it,2010-06-22
587,The Trumpeter - Journal of  Ecosophy (Host: Athabasca University),1053,ca,2010-06-22
588,IssueLab (Nonprofit Research),3596,us,2010-06-22
589,"Eğitim ve Bilim / Education and Science (E-Journal, Host: Türk Eğitim Derneği, TED)",294,tr,2010-06-22
590,"Queen's University, Ontario: OJS@Queen's University",2049,ca,2010-06-21
591,National Centre for Research Methods: NCRM EPrints Repository,1729,uk,2010-06-21
592,Indian Agricultural Research Institute: Eprints@IARI,221,in,2010-06-21
593,Ethnology: An International Journal of Cultural and Social Anthropology (University of Pittsburgh),67,us,2010-06-21
594,Discrete Mathematics & Theoretical Computer Science - DMTCS (E-Journal),908,fr,2010-06-21
595,Boletim Neuro Atual (Academia Brasileira de Neurologia),173,br,2010-06-21
596,Universidad del Zulia: Revistas Científicas y Humanísticas de LUZ  (ReviCyHLUZ),8306,ve,2010-06-18
597,"Manioc - Bibliothèque Numérique Caraïbe, Amazonie, Plateau des Guyanes (Université des Antilles et de la Guyane)",923,org,2010-06-18
598,Högskolan Kristianstad: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),3429,se,2010-06-18
599,University of KwaZulu-Natal: ResearchSpace at UKZN,5349,za,2010-06-17
600,PQDT Open: Open Access Dissertations and Theses (Host: ProQuest),3070,us,2010-06-17
601,ODSAS: Online Digital Sources and Annotation System for the social sciences,877,fr,2010-06-17
602,Emory University: Emory Electronic Theses and Dissertations (ETD),1763,us,2010-06-17
603,Biblioteca Virtual de Aragón,5551,es,2010-06-17
604,"Biblioteca Nacional de Maestros (BNM), Argentina",9220,ar,2010-06-17
605,Università degli Studi Roma Tre: DSpace@RomaTre,585,it,2010-06-16
606,Università degli Studi di Milano: Archivio Istituzionale della Ricerca (AIR),88094,it,2010-06-16
607,University of Sumatera Utara: USU Repository  / Universitas Sumatera Utara,30703,id,2010-06-16
608,"The University of Dublin, Trinity College: Irish African Partnership Repository (IAPRA)",171,ie,2010-06-16
609,Discovery - University of Dundee Online Publications,4158,uk,2010-06-16
610,Chinese Culture University: Institutional Repository (CCUR) / 文化大學機構典藏,20818,tw,2010-06-16
611,Universität Osnabrück: repOSitorium,931,de,2010-06-02
612,Stellenbosch University: SUNScholar Research Repository,16871,za,2010-06-02
613,Skemman (Island),5414,is,2010-06-02
614,RIUMA - Repositorio Institucional de la Universidad de Málaga,1988,es,2010-06-02
615,Kansai University Repository / 関西大学学術リポジトリ,5067,jp,2010-06-02
616,JorumOpen (Learning and Teaching Materials),15618,uk,2010-06-02
617,Universitas Gadjah Mada: FMIPA-UGM Online Journal,573,id,2010-06-01
618,On-line Veröffentlichungen des Julius Kühn-Instituts (JKI),1502,de,2010-06-01
619,Journal of Literary Theory (JLT),261,de,2010-06-01
620,"International Journal on Food System Dynamics (Int. Center for Management, Communication, and Research, Bonn)",64,de,2010-06-01
621,International Journal of Ubiquitous Convergenece Technology (Korea University),27,kr,2010-06-01
622,International Journal of Spatial Data Infrastructures Research (Joint Research Centre of the European Commission),123,eu,2010-06-01
623,Electronic Communications of the EASST (European Association of Software Science and Technology),555,de,2010-06-01
624,"Cultural Science (E-Journal, Queensland University of Technology)",36,au,2010-06-01
625,University of Puerto Rico at Mayaguez: Engineering Journals,225,pr,2010-05-31
626,"Iranian Journal of Biotechnology (IJB - National Institute of Genetic Engineering and Biotechnolgy, Iran)",303,ir,2010-05-31
627,International Society for Zoological Research (ISZR): Journals,8,org,2010-05-31
628,Universidad Nacional de La Plata: Portal del Revistas del UNLP,249,ar,2010-05-28
629,Universidad de Antioquia: Sistema de Revistas,8405,co,2010-05-28
630,Slavica Journals (Eurasia Academic Publishers),325,bg,2010-05-28
631,"Revista Latinoamericana de Estudios sobre Cuerpos, Emociones y Sociedad",55,ar,2010-05-28
632,"eQuipu (E-Journals, Chile)",2,cl,2010-05-28
633,Copenhagen Business School: Ejournals@CBS,2667,dk,2010-05-28
634,Università del Salento: ESE - Salento University Publishing,4509,it,2010-05-27
635,Universidade do Minho: LASICS (Laboratório de Sistemas de Informação para a Investigação em Ciências Sociais),427,pt,2010-05-27
636,Revistas Científicas de la Universidad de Murcia,13113,es,2010-05-27
637,"Organization - Journal of Management, Informatics and Human Resources / Organizacija - Revija za management, informatiko in kadre (University of Maribor)",1407,si,2010-05-27
638,"Nordisk Barnehageforskning (E-Journal, Høgskolen i Oslo)",60,no,2010-05-27
639,"Método Directo, Lda: e-Journals",18,pt,2010-05-27
640,International Society for the Systems Sciences: Journals ISSS,497,uk,2010-05-27
641,Hungarian Society of Biomechanics: E-Journals / Magyar Biomechanikai Társaság,99,hu,2010-05-27
642,Cerrahi Sanatlar Dergisi (Journal of Surgical Arts),50,tr,2010-05-27
643,"Archives of Exercise in Health and Disease (E-Journal - Research Centre in Physical Activity, Health and Leisure, University of Porto)",11,pt,2010-05-27
644,"Acta Universitatis Palackianae Olomucensis. Gymnica (Palacky University, Olomouc)",198,cz,2010-05-27
645,Academy Publisher Online (E-Journals),4588,fi,2010-05-27
646,Wageningen UR (University & Research Centre): Publication System,11831,nl,2010-05-26
647,Universitat de València: Open Journal Systems,120,es,2010-05-26
648,Universidade Federal do Piauí - UFPI: Open Journal Systems,414,br,2010-05-26
649,Universidade Estadual Paulista São Paulo (UNESP): Sistema Eletrônico de Editoração de Revistas,372,br,2010-05-26
650,Universidade Estadual da Paraíba (UEPB): Sistema Eletrônico de Editoração de Revistas,677,br,2010-05-26
651,Universidad de Salamanca: Gestor Revistas Online,7270,es,2010-05-26
652,Universidad Carlos III de Madrid: Open Journal Systems,46,es,2010-05-26
653,Revista Electrónica de la Autopsia / The Electronic Journal of Autopsy,42,es,2010-05-26
654,Faculdade de Telêmaco Borba (FATEB): Sistema Eletrônico de Editoração de Revistas,9,br,2010-05-26
655,Electronic Letters on Computer Vision and Image Analysis (ELCVIA - Universitat Autònoma de Barcelona),112,es,2010-05-26
656,"Al-Qanṭara (E-Journal - Centro de Ciencias Humanas y Sociales, CSIC)",136,es,2010-05-26
657,Afroeuropa: Journal of Afroeuropean Studies,78,es,2010-05-26
658,University of Wisconsin: Digital Publishing,287,us,2010-05-25
659,University of Manitoba: U of M Hosted Journals,19,ca,2010-05-25
660,University of British Columbia Okanagan: E-Journals,33,ca,2010-05-25
661,Transformative Works and Cultures  - TWC (Organization for Transformative Works),135,us,2010-05-25
662,The University of Sydney: Sydney eScholarship Journals online,2858,au,2010-05-25
663,Journal of Mennonite Studies (University of Winnipeg),636,ca,2010-05-25
664,International Journal of Communication - IJOC (USC Annenberg Press),592,us,2010-05-25
665,"eLanguage Journals (Linguistic Society of America, LSA)",2884,us,2010-05-25
666,"Current Issues in Education (E-Journal, Arizona State University)",108,us,2010-05-25
667,URJ-UCCS: Undergraduate Research Journal at University of Colorado at Colorado Springs,37,us,2010-05-21
668,The University of Tennessee: Open Journal Systems,30,us,2010-05-21
669,Journal of Southeast Asian American Education & Advancement (University of Texas at San Antonio),84,us,2010-05-21
670,Journal of Research Practice - JRP (Athabasca University Press),111,ca,2010-05-21
671,Indiana University-Purdue University Indianapolis (IUPUI): E-Journals,1186,us,2010-05-21
672,"American University, Washington, DC: American University Journals",133,us,2010-05-21
673,"University of British Columbia: Trends in Scholarly Communication, LIBR 559L",77,ca,2010-05-20
674,The Electronic Journal of Information Systems in Developing Countries (City University of Hong Kong),332,hk,2010-05-20
675,STMIK Jakarta Journal Online,1844,id,2010-05-20
676,Srinakharinwirot University: SWU e-Journals System,1794,th,2010-05-20
677,"PSIT-PSAT, Indien: darbose (E-Journals)",75,in,2010-05-20
678,"Philippine E-Journals (Host: C&E Publishing, Inc.)",349,ph,2010-05-20
679,"National Law School of India University, Bangalore: Open Journal Systems",74,in,2010-05-20
680,"Health Science Journals in Thailand (Host: National Health Foundation, Thailand)",9830,th,2010-05-20
681,"Defence Research & Development Organization, India: DRDO Publications",751,in,2010-05-20
682,Asia Journal of Global Studies (AAGS - Asia Association for Global Studies),42,jp,2010-05-20
683,University of Toronto: Journal Publishing Services,9467,ca,2010-05-19
684,University of New Brunswick: Electronic Text Centre Journals,10555,ca,2010-05-19
685,University of Guelph OJS site,9,ca,2010-05-19
686,"Universidade Federal Rural do Semi-Árido (UFERSA), Mossoró: Sistema Eletrônico de Editoração de Revistas",689,br,2010-05-19
687,Universidade Federal de Santa Maria: Sistema Eletrônico de Editoração de Revistas,2384,br,2010-05-19
688,Universidade Federal de Santa Maria: Portal de Revistas Eletrônicas do CCNE,446,br,2010-05-19
689,Universidade Estadual do Oeste do Paraná: Projeto SABER,3983,br,2010-05-19
690,"SEER UFRGS (Sistema Eletrônico de Editoração de Periódic, Univ. Federal do Rio Grande do Sul)",7300,br,2010-05-19
691,"Revistas Eletrônicas da Toledo Presidente Prudente, São Paulo",2630,br,2010-05-19
692,Revista Ambiente & Água - An Interdisciplinary Journal of Applied Science (Universidade de Taubaté),144,br,2010-05-19
693,"EntomoBrasilis (E-Journal, Entomologistas do Brasil)",108,br,2010-05-19
694,"Contributions to Discrete Mathematics (E-Journal, University of Calgary)",94,ca,2010-05-19
695,"Cadernos NPGA (E-Journal, Universidade Federal da Bahia)",30,br,2010-05-19
696,"University of Illinois at Urbana-Champaign, College of Education: Journals",1124,us,2010-05-18
697,The University of Kansas: Journals@KU,3838,us,2010-05-18
698,The City University of New York (CUNY): Open Journal Systems,371,us,2010-05-18
699,The Brock Review (Humanities Research Institute at Brock University),20,ca,2010-05-18
700,Rochester Institute of Technology: RIT Libraries Open Access Journals,151,us,2010-05-18
701,New Jersey History - NJH (Host: Rutgers University Libraries),660,us,2010-05-18
702,Library Student Journal (E-Journal),108,us,2010-05-18
703,"Journal of Computational Geometry (JoCG - Carleton University, Computational Geometry Lab)",18,us,2010-05-18
704,Engineering Design Graphic Journal (ASEE - American Society for Engineering Education),195,us,2010-05-18
705,"Comparative Philosophy (E-Journal, Center for Comparative Philosophy, San Jose State University)",55,us,2010-05-18
706,Communications in Information Literacy (E-Journal),44,us,2010-05-18
707,Brief Chronicles: An Intersciplinary Journal of Shakespearean Authorship Studies,56,us,2010-05-18
708,ASAGE - American Society for Aesthetics Graduate E-Journal,31,us,2010-05-18
709,"Agricultural Engineering International (E-Journal, CIGR - International Commission of Agricultural Engineering)",330,us,2010-05-18
710,"Université Cheikh Anta Diop de Dakar, Institut Fondamental d'Afrique Noire  Culturels Africains",310,sn,2010-04-30
711,"Universidad Andina Simón Bolívar, Sede Ecudaor: UASB-Digital",2605,ec,2010-04-30
712,National Museums Scotland: Research Repository,738,uk,2010-04-30
713,Lumbung Pustaka Universitas Negeri Yogyakarta: ePrints@UNY,5384,id,2010-04-30
714,Hong Kong Baptist University: HKBU Institutional Repository,214,hk,2010-04-30
715,"Australian Policy Online (Host: Institute for Social Research, Swinburne University of Technology)",13951,au,2010-04-30
716,University of Victoria (Canada): Journal Publishing Service,2205,ca,2010-04-29
717,"University of Prince Edward Island, Canada: UPEI Open Journals",690,ca,2010-04-29
718,Open Access Zeitschriften des Universitätsverlages der Technischen Universität Chemnitz,6,de,2010-04-29
719,Leibniz-Zentrum für Psychologische Information und Dokumentation (ZPID): ePublications,420,de,2010-04-29
720,Education Policy Analysis Archives (Host: Arizona State University),667,us,2010-04-29
721,"Danubius University, Romania: Danubius Journals",995,ro,2010-04-29
722,Boston College: Open Journal Systems,1181,us,2010-04-29
723,University of Technology Sydney: UTSeScholarship,17229,au,2010-04-21
724,University of Alberta Libraries Journal Hosting,7126,ca,2010-04-21
725,Kaunas University of Applied Sciences / Kauno Kolegija: DSpace,160,lt,2010-04-21
726,Aarhus University: OJS på Statsbiblioteket - OJS at The State and University Library,4241,dk,2010-04-21
727,Staatsbibliothek zu Berlin: Digitalisierte Sammlungen der SBB,21493,de,2010-04-16
728,Zwingliana (E-Journal),2285,ch,2010-04-14
729,Universidade Federal do Rio Grande do Norte: Centro de Ciências Sociais Aplicadas,320,br,2010-04-14
730,Universidade de Brasília: Diretório de Periódicos Acadêmicos da UnB,4532,br,2010-04-14
731,Universidad Nacional de Rosario: e-Universitas UNR Journal,21,ar,2010-04-14
732,Royal Danish Defence College Research Database,163,dk,2010-04-14
733,READ (Research in Architecture & Design): Publikationer,174,dk,2010-04-14
734,Institute for Byzantine Research: Byzantina Symmeikta / Ινστιτούτο Βυζαντινών Ερευνών: ΒΥΖΑΝΤΙΝΑ ΣΥΜΜΕΙΚΤΑ,315,gr,2010-04-14
735,Hvidovre Hospital: Forskning,38,dk,2010-04-14
736,"Handelshøjskolen, Aarhus Universitet: Research@asb",39434,dk,2010-04-14
737,"Educação, Formação & Tecnologias (Host: Educom - Associação Portuguesa de Telemática Educativa)",107,pt,2010-04-14
738,DSQ - Disability Studies Quarterly (Host: Society for Disability Studies - SDS),2158,us,2010-04-14
739,Universidade Católica de Brasília: Portal de Revistas Eletrônicas,1087,br,2010-04-08
740,"Swinburne University of Technology, Melbourne: Open Journal Systems",159,au,2010-04-08
741,Pontifícia Universidade Católica de São Paulo: Revistas@PUC-SP,5548,br,2010-04-08
742,Ecological and Environmental Anthropology (E-Journal) (Host: University of Georgia),60,us,2010-04-08
743,Yaroslavl State University (YarSU): Elar (Electronic Archive) / Ярославский государственный университет им. П. Г. Демидова: Электронный архив,2451,ru,2010-04-07
744,University of Eastern Finland: UEF Electronic Publications / Itä-Suomen Yliopisto,1934,fi,2010-04-07
745,"Universidad Nacional de Cuyo, Argentina (UNCuyo): Biblioteca Digital",1368,ar,2010-04-07
746,Osaka City University Repository / 大阪市立大学 学術機関リポジトリ,2391,jp,2010-04-07
747,Hiroshima University: Harp (Hiroshima Associated Repository Portal) / 広島県大学共同リポジトリ,7681,jp,2010-04-07
748,"eKMAIR (Electronic Kyiv-Mohyla Academy Institutional Repository) / Електронний архів Національного університету ""Києво-Могилянська академія""",1237,ua,2010-04-07
749,CIAT (Centro Internacional de Agricultura Tropical International) / International Center for Tropical Agriculture,1270,co,2010-04-07
750,Belief Project (EU),13253,it,2010-04-07
751,Università di Bologna: AMS Tesi di Dottorato (Alm@DL),2945,it,2010-04-06
752,University of Guelph OJS site (E-Journals),1005,ca,2010-04-06
753,University of Greenwich: Greenwich Academic Literature Archive,4492,uk,2010-04-06
754,Universidade da Beira Interior: Ubi Thesis - Conhecimento Online,172,pt,2010-04-06
755,"Universidad Nacional del Centro de la Provincia de Buenos Aire (UNICEN), Facultad de Derecho: Open Journal Systems",1280,ar,2010-04-06
756,Polytechnic of Namibia: Ounongo Repository,241,na,2010-04-06
757,Loughborough University Library: Open Journals,1292,uk,2010-04-06
758,Current Oncology (Host: Multimed Inc.),528,ca,2010-04-06
759,Cumhuriyet Üniversitesi Dergileri (Cumhuriyet University Journals),519,tr,2010-04-06
760,"Central Marine Fisheries Research Institute, Kochi, India: Eprints@CMFRI",8669,in,2010-04-06
761,Universidade de Santa Cruz do Sul (UNISC): Portal de periódicos on-line,1093,br,2010-03-26
762,JROI - Journal of Radiation Oncology Informatics,10,ch,2010-03-26
763,Gunadarma University: Ejournal UG,299,id,2010-03-26
764,Collectanea Mathematica (E-Journal),1100,es,2010-03-26
765,Ciências da Terra - Earth Sciences Journal,255,pt,2010-03-26
766,Università degli Studi di Bari: Open Journal Systems,128,it,2010-03-25
767,"Universidade Federal da Bahia, Escola de Administração: Periódicos EAUFBA",104,br,2010-03-25
768,Sapienza Università di Roma: OJS - Open Journals Sapienza,4047,it,2010-03-25
769,Royal Netherlands Institute of Southeast Asian and Caribbean Studies: KITLV journals (Host: Universiteit Utrecht),6666,nl,2010-03-25
770,New Prairie Press - Open Access Scholarly Journals,1191,us,2010-03-25
771,MOnAMi - Hochschulschriftenserver der Hochschule Mittweida,2207,de,2010-03-25
772,"CSCanada.net: E-Journals (Host: Canadian Academy of Oriental and Occidental Culture, Canadian Research & Development Center of Sciences and Cultures)",2283,ca,2010-03-25
773,Biodiversity Information Standards: Proceedings of TDWG,492,au,2010-03-25
774,Universitat Oberta de Catalunya (UOC): Repositori Institucional,3363,es,2010-03-24
775,Süleyman Demirel Üniversitesi: Elektronik Dergi Sistemi,2145,tr,2010-03-24
776,Southern State Community College: Ohio Digital Resource Commons,38,us,2010-03-24
777,e-rara.ch (Host: ETH Zürich),8658,ch,2010-03-24
778,University of Northern British Columbia: Open Journal Systems,156,ca,2010-03-23
779,Universidade Federal do Rio Grande (FURG): Portal de Periódicos Científicos,1387,br,2010-03-23
780,Universidade Federal de Goiás: Portal de Periódicos da UFG,6502,br,2010-03-23
781,Universidad Nacional Autónoma de México: Revistas académicas de la UNAM,27223,mx,2010-03-23
782,"Norges teknisk-naturvitenskapelige universitet, Trondheim: NTNU Open Access Journals",1282,no,2010-03-23
783,Canadian Center of Science and Education: CCSE Journal Online,9193,ca,2010-03-23
784,Bifröst Journal of Social Science (Host: Bifröst University),37,is,2010-03-23
785,University of Macedonia: Computational Systems and Software Engineering (CSSE) Lab,24,gr,2010-03-19
786,Universidad Nacional de Salta: Repositorio de la UNSa,27,ar,2010-03-19
787,"Salve Regina University, Newport: eScholar@Salve Regina",1661,us,2010-03-19
788,Murdoch University: Murdoch Research Repository,6392,au,2010-03-19
789,Cornell University Law Library: Scholarship@Cornell Law,898,us,2010-03-19
790,Aarhus Universitet: Pure,7901,dk,2010-03-19
791,University of Illinois at Chicago: Journals@UIC,1967,us,2010-03-15
792,The University of Toledo: Ohio Digital Resource Commons,3418,us,2010-03-15
793,Marietta College Library: Ohio Digital Resource Commons,1609,us,2010-03-15
794,"Universidade Estadual Paulista São Paulo (UNESP), Campus de Rio Claro: Portal de Periódicos",2063,br,2010-03-12
795,"SciRePrints: Science and Religion Dialogue Prints of University of Latvia, Riga",155,lv,2010-03-12
796,North Carolina State University: Open Journal Systems (E-Journals),1209,us,2010-03-12
797,Australian Institute of Marine Science: AIMS Staff Publications,3311,au,2010-03-12
798,Research at the University of Southern Denmark,681,dk,2010-03-11
799,Københavns Universitet: CURIS (Copenhagen University Research Information System),2547,dk,2010-03-11
800,Danmarks Tekniske Universitet (DTU): ORBIT - Online Research Database In Technology,11727,dk,2010-03-11
801,University of Pretoria Electronic Theses and Dissertations (UPeTD),7264,za,2010-03-10
802,"Universidade Estadual Paulista São Paulo (UNESP), Campus Araraquara: Portal de Periódicos Científicos",1021,br,2010-03-10
803,National Library of Australia: Open Publish (E-Journals),1745,au,2010-03-10
804,"Cyfrowa Biblioteka Druków Ulotnych Polskich i Polski Dotyczących z XVI, XVII i XVIII Wieku / Digital Library of Polish and Poland-Related News Pamphlets from the 16th to the 18th Century",2010,pl,2010-03-10
805,ARIEL: A Review of International English Literature (E-Journal),3049,ca,2010-03-10
806,Applied Cancer Research (E-Journal),133,br,2010-03-10
807,Ancient Asia - Journal of the Society of South Asian Archaeology,27,in,2010-03-10
808,Yale University: Yale Medicine Thesis Digital Library,442,us,2010-03-09
809,Università degli Studi di Napoli l'Orientale: OPAR - L'Orientale Open Archive,976,it,2010-03-09
810,University of Pittsburgh: D-Scholarship@Pitt,7642,us,2010-03-09
811,Nordiska Afrikainstitutet: Publikationsdatabas (DiVA - Digitala Vetenskapliga Arkivet) / The Nordic Africa Institute,724,se,2010-03-09
812,"Madurai Kamaraj University, School of Biotechnology: Eprints@SBT MKU",104,in,2010-03-09
813,King's College London: Department of Computer Science E-Repository,1000,uk,2010-03-09
814,"Högskolan Väst, Trollhättan: Elektroniska publikationer (DiVA - Digitala Vetenskapliga Arkivet)",1650,se,2010-03-09
815,Högskolan på Gotland: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),476,se,2010-03-09
816,Försvarshögskolan: DiVA (Digitala Vetenskapliga Arkivet) / Swedish National Defence College,824,se,2010-03-09
817,University of the Western Cap: UWC Research Repository,190,za,2010-03-08
818,"Southern Taiwan University Institutional Repository (STUTIR) / 南台,南台科大學機構典藏",15298,tw,2010-03-08
819,Siberian Federal University: Archiv Elektronnych  SFU / Архив электронных ресурсов СФУ,2087,ru,2010-03-08
820,Repositório do Instituto Politécnico de Castelo Branco,1218,pt,2010-03-08
821,Repositório do Hospital Prof. Doutor Fernando Fonseca (HFF),429,pt,2010-03-08
822,Repositório Comum (Host: RCAAP - Repositório Científico de Acesso Aberto de Portugal),1473,pt,2010-03-08
823,Repositori Universitat Jaume I (Repositorio UJI),8578,es,2010-03-08
824,Laboratório Nacional de Energia e Geologia.: Repositório Científico do LNEG,1097,pt,2010-03-08
825,DSpace at Joetsu University of Education / 上越教育大学学術機関リポジトリ,1311,jp,2010-03-08
826,Biblioteca Digital do Comitê do Itajaí,938,br,2010-03-08
827,"Universidad de Los Andes, Mérida, Venezuela: e-Revistas",3467,ve,2010-03-05
828,Real Academia Nacional de Farmacia: Portal Publicaciones,1096,es,2010-03-05
829,iMedPub Journals,538,us,2010-03-05
830,Göttingen Journal of International Law (E-Journal),99,de,2010-03-05
831,DIGIBUG: Repositorio Institucional de la Universidad de Granada,18096,es,2010-03-05
832,"Anuario de Estudios Medievales (Host: Institución Milá y Fontan, CSIC)",193,es,2010-03-05
833,"Anuario de Estudios Americanos (Host: Escuela de Estudios Hispano-Americanos, CSIC)",552,es,2010-03-05
834,"Anales del Jardín Botánico de Madrid (E-Journal, Real Jardín Botánico, CSIC)",337,es,2010-03-05
835,19: Interdisciplinary Studies in the Long Nineteenth Century (E-Journal),117,uk,2010-03-05
836,Università degli Studi di Messina: Open Journals Messina,575,it,2010-03-04
837,Revistas Electrónicas de la Universidad de Jaén,493,es,2010-03-04
838,Online-Journals.org (Host: International Association of Online Engineering),1189,us,2010-03-04
839,Islamic University of Indonesia / Universitas Islam Indonesia: Journal Portal,2374,id,2010-03-04
840,Global Journal of Computer Science and Technology (GJCST),438,us,2010-03-04
841,Gateways: International Journal of Community Research and Engagement (Host: University of Technology Sydney),37,au,2010-03-04
842,Association for the Advancement of Artificial Intelligence: AAAI Publications,1589,us,2010-03-04
843,"Anales Cervantinos (Instituto de Lengua, Literatura y Antropologia, CSIC)",68,es,2010-03-04
844,Acta Orthopaedica et Traumatologica Turcica (E-Journal),2494,tr,2010-03-04
845,University of East London: Research Open Access Repository - roar@UEL,1216,uk,2010-03-03
846,National Technical University of Athens (NTUA): DSpace / Εθνικό Μετσόβιο Πολυτεχνείο,5938,gr,2010-03-03
847,Addis Ababa University Electronic Thesis and Dissertations: AAU-ETD,2651,et,2010-03-03
848,Polska Akademia Nauk: Biblioteka Cyfrowa Instytutów PAN,6692,pl,2010-03-02
849,National Documentation Centre on Drug Use,9778,ie,2010-03-02
850,Krośnieńska Biblioteka Cyfrowa,2313,pl,2010-03-02
851,Explorations - Open Access Repository of Indian Theses (Host: Council of Scientific & Industrial Research),800,in,2010-03-02
852,Chia Nan University of Pharmacy & Science Institutional Repository (CHNAIR) / 嘉藥科大機構典藏,13896,tw,2010-03-02
853,Pomorska Biblioteka Cyfrowa (PBC) / Digitale Bibliothek Pommern,18331,pl,2010-02-26
854,Vietnam Journals Online (VietnamJOL) / Tạp chí khoa học Việt Nam Trực tuyến,4409,vn,2010-02-25
855,University of North Texas: UNT Digital Library,64508,us,2010-02-25
856,Universidad de Sevilla: Fondos digitalizados,5474,es,2010-02-25
857,The Portal to Texas History (University of North Texas),171648,us,2010-02-25
858,Sri Lanka Journals Online (SLJOL),3414,lk,2010-02-25
859,Philippines Journals OnLine (PhilJOL),1517,ph,2010-02-25
